Generation,Minimum,Average,Maximum
Population Size = 100,Method = 1, Crossover Probability = 0.5,Mutation Probability = 0.0
1,4,9.34,15
2,5,9.73,14
3,5,10.37,14
4,6,10.69,14
5,6,11.06,14
6,8,11.57,15
7,8,12.03,17
8,8,12.22,17
9,8,12.41,17
10,9,12.47,17
11,9,12.80,17
12,7,13.27,17
13,7,13.27,18
14,7,13.48,18
15,7,13.42,18
16,9,13.92,18
17,9,14.02,19
18,9,14.46,19
19,11,14.64,18
20,11,14.76,18
21,11,15.05,19
22,11,15.09,19
23,11,15.35,19
24,12,15.77,18
25,12,15.97,19
26,12,16.12,19
27,13,16.32,20
