Generation,Minimum,Average,Maximum
Population Size = 100,Method = 2, Crossover Probability = 0.5,Mutation Probability = 0.0
1,4,10.22,16
2,7,11.72,16
3,7,12.81,16
4,11,13.71,17
5,11,14.52,18
6,12,15.10,17
7,13,15.91,18
8,14,16.55,19
9,15,17.11,19
10,16,17.57,19
11,15,17.95,20
Generation,Minimum,Average,Maximum
Population Size = 100,Method = 2, Crossover Probability = 0.5,Mutation Probability = 0.0
1,5,9.87,15
2,6,11.17,16
3,8,11.86,16
4,9,12.49,15
5,10,13.21,17
6,11,14.27,19
7,11,15.41,19
8,12,15.91,19
9,13,16.67,19
10,15,17.56,20
Generation,Minimum,Average,Maximum
Population Size = 100,Method = 2, Crossover Probability = 0.5,Mutation Probability = 0.0
1,2,9.88,15
2,7,11.40,16
3,9,12.34,16
4,9,13.30,16
